id,subjectId,lectureId,userId,score,totalQuestions,correctAnswers,completedAt
1777818592420,,1777818484904,1776852563579,25,4,1,2026-05-03T14:29:52.420Z
1777820630663,1777815451520,1777815782913,1776852563579,37,19,7,2026-05-03T15:03:50.663Z
